ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1776161570307,2069589,-10.5214815,-2.636957,3.3051775,3.0531044,-1.2547172,-2.823419,100
1776161570345,2068737,-10.540643,-1.2478243,2.512414,2.3848178,-1.6578883,-2.8319712,100
1776161570386,2068322,-11.788466,-0.3209375,1.9112549,1.1753048,-1.8106046,-2.4324653,100
1776161570425,2067812,-11.668714,-0.8478499,1.8154526,-0.07086037,-1.7837266,-2.0842721,100
1776161570465,2066491,-11.457949,-1.4154782,1.877724,-0.7489208,-1.5381587,-1.9315559,100
1776161570506,2065281,-10.353827,-1.1831578,1.6238481,-1.1447614,-1.1301007,-1.9095647,100
1776161570545,2064343,-8.478498,-1.1184913,1.2741699,-0.50946164,-0.6059783,-1.9071213,100
1776161570585,2063780,-7.4318595,-1.7340207,0.895751,0.43982297,-0.062308256,-1.7055358,100
1776161570626,2063576,-6.653466,-1.5017003,1.3148859,0.5131268,0.46181414,-1.1899655,100
1776161570665,2063741,-6.0906277,-1.1951331,1.9926867,0.2125811,0.95417154,-0.44226643,100
1776161570707,2064192,-5.5277896,-1.1975281,2.6633024,-0.10140363,1.3231341,0.47891834,100
1776161570745,2064256,-5.922974,-1.022689,3.2860172,-0.38362336,1.4636332,1.3121386,100
1776161570785,2064722,-6.6654415,-1.0825654,3.4393008,-0.7098254,1.5234979,2.3286183,100
1776161570827,2066010,-8.543165,-1.2214787,3.6069546,-1.3304645,1.378112,3.5027013,100
1776161570866,2067506,-11.32143,-1.4154782,4.4595947,-2.5277603,0.8686504,4.3725734,100
1776161570906,2068683,-14.8182125,-1.4394288,5.0942845,-4.7781878,0.16249016,4.579046,100
1776161570946,2069635,-17.685095,-1.1735775,4.088361,-6.075666,-0.87109387,3.580892,100
1776161570986,2070724,-16.00137,-6.2822323,2.2465627,-3.0445523,-1.1691961,1.9046779,100
1776161571027,2071613,-10.851999,-4.895495,1.3244661,-0.7806858,-0.9272934,1.0775663,100
1776161571066,2072229,-10.8711605,-4.8260384,0.1963946,1.2657127,-0.7867944,0.9615019,100
1776161571105,2072123,-9.81494,-5.7313695,0.30177706,1.7458528,-0.5314528,0.7122689,100
1776161571146,2073498,-8.425808,-5.4271975,0.8694054,1.5393804,-0.40317106,0.25900686,100
1776161571186,2073858,-7.6522045,-3.9877687,1.1663923,1.3548992,-0.35063666,-0.17837265,101
1776161571226,2074278,-7.4318595,-3.2644615,0.8071339,1.3390167,-0.24678956,-0.5119051,101
1776161571267,2074101,-7.889315,-3.3746343,0.5867888,1.3121386,-0.11728613,-0.9627236,101
1776161571305,2073851,-8.2749195,-3.6021645,0.64906025,1.5894713,-0.02321288,-1.3109168,101
1776161571345,2073915,-9.225757,-3.580609,0.63948,1.8851302,0.039095376,-1.6542231,101
1776161571385,2074138,-9.417361,-3.0584867,0.65864044,2.117259,0.052534413,-1.9620992,101
1776161571426,2073913,-9.58262,-2.7016234,0.83826965,2.2650883,0.004886922,-2.1649065,101
1776161571465,2072990,-10.863975,-2.7159936,1.1472319,2.483778,-0.08552113,-2.1856759,101
1776161571508,2071796,-12.423157,-2.55313,1.2214787,2.3200662,-0.12217305,-2.1111503,101
